venue,item,category,is_group,is_room_service,is_addon,is_disposable_or_condiment,is_zero_sugar,drink_temp_hot,drink_temp_ice,spicy_flag,kids_flag
느티나무 셀프BBQ,1인 수저세트,패키지·단체·대관·서비스·옵션,True,False,False,True,False,False,False,False,False
느티나무 셀프BBQ,BBQ55(단체),구이·BBQ·육류,True,False,False,False,False,False,False,False,False
느티나무 셀프BBQ,"대여료 30,000원",패키지·단체·대관·서비스·옵션,False,True,False,False,False,False,False,False,False
느티나무 셀프BBQ,"대여료 60,000원",패키지·단체·대관·서비스·옵션,False,True,False,False,False,False,False,False,False
느티나무 셀프BBQ,"대여료 90,000원",패키지·단체·대관·서비스·옵션,False,True,False,False,False,False,False,False,False
느티나무 셀프BBQ,"본삼겹 (단품,실내)",구이·BBQ·육류,False,False,False,False,False,False,False,False,False
느티나무 셀프BBQ,스프라이트 (단체),분식·스낵,True,False,False,False,False,False,False,False,False
느티나무 셀프BBQ,신라면,아시아 면류,False,False,False,False,False,False,False,False,False
느티나무 셀프BBQ,쌈야채세트,패키지·단체·대관·서비스·옵션,False,False,False,False,False,False,False,False,False
느티나무 셀프BBQ,쌈장,패키지·단체·대관·서비스·옵션,False,False,False,True,False,False,False,False,False
느티나무 셀프BBQ,육개장 사발면,아시아 면류,False,False,False,False,False,False,False,False,False
느티나무 셀프BBQ,일회용 소주컵,소주·증류주,False,False,False,True,False,False,False,False,False
느티나무 셀프BBQ,일회용 종이컵,패키지·단체·대관·서비스·옵션,False,False,False,True,False,False,False,False,False
느티나무 셀프BBQ,잔디그늘집 대여료 (12인석),패키지·단체·대관·서비스·옵션,True,True,False,False,False,False,False,False,False
느티나무 셀프BBQ,잔디그늘집 대여료 (6인석),패키지·단체·대관·서비스·옵션,True,True,False,False,False,False,False,False,False
느티나무 셀프BBQ,잔디그늘집 의자 추가,패키지·단체·대관·서비스·옵션,False,True,True,False,False,False,False,False,False
느티나무 셀프BBQ,참이슬 (단체),소주·증류주,True,False,False,False,False,False,False,False,False
느티나무 셀프BBQ,친환경 접시 14cm,패키지·단체·대관·서비스·옵션,False,False,False,True,False,False,False,False,False
느티나무 셀프BBQ,친환경 접시 23cm,패키지·단체·대관·서비스·옵션,False,False,False,True,False,False,False,False,False
느티나무 셀프BBQ,카스 병(단체),맥주,True,False,False,False,False,False,False,False,False
느티나무 셀프BBQ,콜라 (단체),무알코올 음료,True,False,False,False,False,False,False,False,False
느티나무 셀프BBQ,햇반,라이스·덮밥·볶음밥,False,False,False,False,False,False,False,False,False
느티나무 셀프BBQ,허브솔트,패키지·단체·대관·서비스·옵션,False,False,False,True,False,False,False,False,False
담하,(단체) 공깃밥,라이스·덮밥·볶음밥,True,False,False,False,False,False,False,False,False
담하,(단체) 생목살 김치전골 2.0,한식 메인,True,False,False,False,False,False,False,False,False
담하,(단체) 은이버섯 갈비탕,한식 메인,True,False,False,False,False,False,False,False,False
담하,(단체) 한우 우거지 국밥,한식 메인,True,False,False,False,False,False,False,False,False
담하,(단체) 황태해장국 3/27까지,한식 메인,True,False,False,False,False,False,False,False,False
담하,(정식) 된장찌개,한식 메인,False,False,False,False,False,False,False,False,False
담하,(정식) 물냉면 ,한식 메인,False,False,False,False,False,False,False,False,False
담하,(정식) 비빔냉면,한식 메인,False,False,False,False,False,False,False,False,False
담하,(후식) 된장찌개,한식 메인,False,False,False,False,False,False,False,False,False
담하,(후식) 물냉면,한식 메인,False,False,False,False,False,False,False,False,False
담하,(후식) 비빔냉면,한식 메인,False,False,False,False,False,False,False,False,False
담하,갑오징어 비빔밥,한식 메인,False,False,False,False,False,False,False,False,False
담하,갱시기,한식 메인,False,False,False,False,False,False,False,False,False
담하,공깃밥,라이스·덮밥·볶음밥,False,False,False,False,False,False,False,False,False
담하,꼬막 비빔밥,한식 메인,False,False,False,False,False,False,False,False,False
담하,느린마을 막걸리,전통주·막걸리,False,False,False,False,False,False,False,False,False
담하,담하 한우 불고기,구이·BBQ·육류,False,False,False,False,False,False,False,False,False
담하,담하 한우 불고기 정식,한식 메인,False,False,False,False,False,False,False,False,False
담하,더덕 한우 지짐,구이·BBQ·육류,False,False,False,False,False,False,False,False,False
담하,들깨 양지탕,한식 메인,False,False,False,False,False,False,False,False,False
담하,라면사리,아시아 면류,False,False,True,False,False,False,False,False,False
담하,룸 이용료,패키지·단체·대관·서비스·옵션,False,True,False,False,False,False,False,False,False
담하,메밀면 사리,패키지·단체·대관·서비스·옵션,False,False,True,False,False,False,False,False,False
담하,명인안동소주,소주·증류주,False,False,False,False,False,False,False,False,False
담하,명태회 비빔냉면,한식 메인,False,False,False,False,False,False,False,False,False
담하,문막 복분자 칵테일,칵테일·하이볼,False,False,False,False,False,False,False,False,False
담하,봉평메밀 물냉면,한식 메인,False,False,False,False,False,False,False,False,False
담하,생목살 김치찌개,한식 메인,False,False,False,False,False,False,False,False,False
담하,스프라이트,분식·스낵,False,False,False,False,False,False,False,False,False
담하,은이버섯 갈비탕,한식 메인,False,False,False,False,False,False,False,False,False
담하,제로콜라,무알코올 음료,False,False,False,False,True,False,False,False,False
담하,참이슬,소주·증류주,False,False,False,False,False,False,False,False,False
담하,처음처럼,소주·증류주,False,False,False,False,False,False,False,False,False
담하,카스,맥주,False,False,False,False,False,False,False,False,False
담하,콜라,무알코올 음료,False,False,False,False,False,False,False,False,False
담하,테라,맥주,False,False,False,False,False,False,False,False,False
담하,하동 매실 칵테일,칵테일·하이볼,False,False,False,False,False,False,False,False,False
담하,한우 떡갈비 정식,한식 메인,False,False,False,False,False,False,False,False,False
담하,한우 미역국 정식,한식 메인,False,False,False,False,False,False,False,False,False
담하,한우 우거지 국밥,한식 메인,False,False,False,False,False,False,False,False,False
담하,한우 차돌박이 된장찌개,한식 메인,False,False,False,False,False,False,False,False,False
담하,황태해장국,한식 메인,False,False,False,False,False,False,False,False,False
라그로타,AUS (200g),구이·BBQ·육류,False,False,False,False,False,False,False,False,False
라그로타,G-Charge(3),기타,False,False,False,False,False,False,False,False,False
라그로타,Gls.Sileni,와인,False,False,False,False,False,False,False,False,False
라그로타,Gls.미션 서드,와인,False,False,False,False,False,False,False,False,False
라그로타,Open Food,패키지·단체·대관·서비스·옵션,False,False,False,False,False,False,False,False,False
라그로타,그릴드 비프 샐러드,서양식 메인·라이트,False,False,False,False,False,False,False,False,False
라그로타,까르보나라,서양식 메인·라이트,False,False,False,False,False,False,False,False,False
라그로타,모둠 해산물 플래터,서양식 메인·라이트,True,False,False,False,False,False,False,False,False
라그로타,미션 서드 카베르네 쉬라,와인,False,False,False,False,False,False,False,False,False
